customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5740-YHGTW,Male,0,Yes,Yes,70.0,Yes,Yes,Dsl,Yes,Yes,No,No,Yes,No,2 year,Yes,Credit card (automatic),97.55,6669.05,No
8917-SZTTJ,m,0,n,Yes,60.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Credit card (automatic),19.65,1161.75,No
1696-MZVAU,Male,0,n,Yes,39.0,No,No phone service,dsl,No,No,No,No,No,No,month to month,Yes,Credit card (automatic),25.25,947.75,No
7359-WWYJV,Male,0,n,No,72.0,Yes,Yes,fiber,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit card (automatic),114.45,8375.05,No
0375-HVGXO,fe male,0,Yes,No,1.0,No,No phone service,Dsl,No,No,No,No,Yes,No,2 Year,Yes,Electronic check,34.7,34.7,Yes
4906-ZHGPK,Male,0,n,Yes,54.0,Yes,Yes,Fiberoptic,No,Yes,No,Yes,Yes,No,1 year,Yes,Electronic check,,3770,No
8593-WHYHV,m,0,Yes,No,3.0,Yes,Yes,dsl,No,No,No,No,No,Yes,2 year,Yes,Electronic check,85.3,264.8,Yes
3795-GWTRD,FEMALE,0,Yes,Yes,63.0,Yes,No,fiber optic,Yes,Yes,Yes,Yes,Yes,No,2 Year,No,Credit card (automatic),75.55,4707.85,No
1298-PHBTI,f,0,YES,,71.0,Yes,Yes,dsl,No,Yes,No,Yes,No,No,1 Year,,Electronic check,84.8,6152.4,No
6223-DHJGV,Male,0,No,No,42.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Mailed check,20.65,958.1,No
6961-MJKBO,FEMALE,0,YES,No,47.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),20.45,943,No
6097-EQISJ,Male,0,no,Yes,66.0,Yes,Yes,Dsl,No,Yes,Yes,No,Yes,Yes,2 year,Yes,Credit card (automatic),102.45,6615.15,Yes
4423-YLHDV,Male,0,y,No,21.0,Yes,Yes,fiber,Yes,No,Yes,No,Yes,Yes,2 Year,Yes,Bank transfer (automatic),104.4,2200.25,Yes
8158-WPEZG,fe male,0,NO,,11.0,No,No phone service,Dsl,No,Yes,No,Yes,No,No,2 year,Yes,Electronic check,35.65,425.1,No
0107-YHINA,FEMALE,0,n,Yes,1.0,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,2 year,,Electronic check,99.75,99.75,Yes
4918-FYJNT,Male,1,n,No,55.0,Yes,Yes,fiber optic,No,Yes,Yes,Yes,No,No,1 Year,No,Electronic check,,5044.8,No
0727-BNRLG,fe male,0,Yes,No,69.0,Yes,Yes,fiber,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit card (automatic),97.65,6743.55,No
4854-CIDCF,Male,1,Yes,No,3.0,Yes,No,fiber,No,No,Yes,No,No,No,month to month,No,Electronic check,73.85,196.4,No
8640-SDGKB,Male,0,Yes,No,4.0,Yes,No,fiber,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Electronic check,,299.7,Yes
3280-MRDOF,f,1,Yes,No,30.0,Yes,Yes,Dsl,No,No,Yes,Yes,Yes,No,month to month,Yes,Credit card (automatic),69.1,2093.9,No
6435-SRWBJ,f,0,Yes,No,5.0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,2 year,Yes,Electronic check,82.75,417.75,No
9964-WBQDJ,Female,0,Yes,No,71.0,Yes,Yes,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,Yes,Credit card (automatic),,1725.4,No
6303-KFWSL,fe male,0,n,No,29.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Two Year,Yes,Electronic check,55.25,1620.2,No
1702-CCFNJ,Male,0,NO,No,52.0,Yes,Yes,fiber,No,Yes,No,Yes,No,No,Two Year,No,Bank transfer (automatic),61.35,3169.55,No
8932-CZHRQ,Female,0,No,No,68.0,Yes,Yes,Fiberoptic,Yes,Yes,Yes,No,No,Yes,1 year,No,Credit card (automatic),76.75,5233.25,No
0386-CWRGM,Male,0,YES,Yes,46.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,,Mailed check,19.4,967.85,No
5515-RUGKN,FEMALE,0,No,No,8.0,Yes,No,Fiberoptic,No,No,No,No,No,Yes,One Year,Yes,Credit card (automatic),54.75,438.05,No
0404-AHASP,Female,0,Yes,No,72.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Credit card (automatic),19.7,1421.9,No
7279-NMVJC,fe male,0,y,No,17.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),19.9,323.15,No
2081-VEYEH,Male,0,n,No,3.0,Yes,No,Fiberoptic,No,Yes,Yes,Yes,Yes,Yes,2 year,Yes,Electronic check,107.95,318.6,No
6407-UTSLV,m,1,n,No,2.0,Yes,No,DSL,No,Yes,No,No,Yes,No,2 Year,Yes,Bank transfer (automatic),83.8,,No
4116-TZAQJ,m,0,No,No,9.0,Yes,No,fiber optic,Yes,No,No,No,No,No,1 Year,Yes,Credit card (automatic),74.25,639.65,Yes
9060-HJJRW,f,0,no,No,51.0,No,No phone service,fiber optic,No,Yes,Yes,No,Yes,Yes,2 year,Yes,Credit card (automatic),56.4,2928.5,No
2587-YNLES,f,0,y,Yes,6.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Mailed check,20.1,,No
7398-SKNQZ,f,0,Yes,No,3.0,Yes,Yes,Fiberoptic,No,No,No,No,Yes,Yes,1 year,No,Electronic check,94.9,273.2,No
5935-FCCNB,m,1,n,No,17.0,Yes,Yes,fiber,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Electronic check,94.2,1608.15,No
1958-RNRKS,fe male,0,Yes,No,30.0,Yes,Yes,fiber,No,No,No,No,No,No,Month-to-Month,No,Electronic check,49.9,,No
5136-RGMZO,Male,0,n,No,31.0,Yes,Yes,Fiberoptic,No,Yes,No,Yes,Yes,No,One Year,Yes,Electronic check,71.05,,No
8345-MVDYC,m,0,n,No,45.0,Yes,No,Fiberoptic,Yes,No,Yes,Yes,Yes,Yes,1 Year,No,Bank transfer (automatic),81.65,3618.7,No
8226-BXGES,m,0,no,No,64.0,Yes,Yes,dsl,Yes,Yes,Yes,No,No,No,2 Year,No,Bank transfer (automatic),89.45,5692.65,No
3877-JRJIP,Male,0,y,No,1.0,Yes,Yes,fiber optic,No,No,No,No,Yes,No,One Year,Yes,Electronic check,59.85,59.85,Yes
8375-DKEBR,FEMALE,1,NO,No,1.0,Yes,No,Fiberoptic,No,No,No,No,No,No,One Year,Yes,Electronic check,69.6,69.6,Yes
9705-IOVQQ,m,1,n,Yes,61.0,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,2 year,No,Electronic check,99.0,5969.3,No
1015-OWJKI,Male,0,Yes,No,1.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 Year,No,Mailed check,19.05,19.05,No
7511-YMXVQ,f,0,No,,9.0,No,No phone service,Fiber Optic,No,No,No,No,Yes,Yes,Two Year,Yes,Electronic check,45.4,418.8,Yes
2040-XBAVJ,Male,0,n,Yes,72.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank transfer (automatic),114.45,8100.55,No
7551-JOHTI,Male,0,Yes,No,1.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,19.5,19.5,Yes
8887-IPQNC,FEMALE,0,n,No,7.0,Yes,No,Fiberoptic,No,No,No,No,No,No,1 year,Yes,Mailed check,44.25,313.45,No
8646-JCOMS,f,0,NO,No,66.0,Yes,Yes,fiber,No,Yes,Yes,Yes,No,No,One Year,Yes,Bank transfer (automatic),90.55,6130.95,No
9804-ICWBG,fe male,0,NO,No,1.0,Yes,No,Dsl,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,69.9,69.9,Yes
1222-KJNZD,f,0,n,Yes,40.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,Yes,Bank transfer (automatic),,745.3,No
0106-GHRQR,f,0,Yes,No,16.0,Yes,Yes,Fiberoptic,No,Yes,Yes,No,No,Yes,month to month,Yes,Bank transfer (automatic),71.4,1212.1,No
5318-IXUZF,Male,0,YES,No,2.0,Yes,No,fiber optic,No,Yes,No,No,Yes,No,2 Year,Yes,Bank transfer (automatic),,183.75,Yes
3768-VHXQO,Male,0,No,No,67.0,Yes,Yes,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Credit card (automatic),24.85,1583.5,No
8952-WCVCD,f,0,Yes,No,41.0,Yes,No,fiber optic,Yes,Yes,Yes,No,Yes,Yes,1 year,Yes,Bank transfer (automatic),104.45,4162.05,No
2418-TPEUN,FEMALE,0,YES,Yes,56.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,,Credit card (automatic),19.8,1119.9,No
3963-RYFNS,m,0,y,No,,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank transfer (automatic),116.45,8013.55,No
3198-VELRD,Male,0,No,,3.0,Yes,Yes,fiber,No,No,No,No,No,Yes,2 Year,Yes,Bank transfer (automatic),84.75,264.85,Yes
8540-ZQGEA,f,0,Yes,No,54.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Credit card (automatic),20.05,1102.4,No
1320-REHCS,fe male,1,no,No,52.0,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Electronic check,110.75,5832,No
4137-JOPHL,f,0,No,No,50.0,Yes,No,dsl,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank transfer (automatic),89.7,4304.5,No
9436-ZBZCT,m,0,Yes,No,14.0,Yes,Yes,dsl,No,No,No,Yes,Yes,No,One Year,Yes,Electronic check,89.95,1178.4,Yes
7801-CEDNV,f,0,Yes,No,27.0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-Month,No,Credit card (automatic),48.7,1421.75,No
2057-BOYKM,f,1,n,No,72.0,Yes,Yes,dsl,Yes,Yes,Yes,Yes,No,No,1 Year,Yes,Bank transfer (automatic),96.6,6827.5,No
3658-QQJYD,Male,0,Yes,No,62.0,Yes,No,Dsl,Yes,Yes,No,No,Yes,Yes,2 year,Yes,Credit card (automatic),74.3,4698.05,No
1803-BGNBD,Male,0,NO,No,12.0,Yes,No,fiber,No,Yes,No,Yes,No,No,month to month,Yes,Electronic check,54.3,654.5,No
0134-XWXCE,fe male,1,no,,44.0,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,1 Year,No,Bank transfer (automatic),74.85,3268.05,No
6950-TWMYB,Male,0,no,Yes,54.0,Yes,No,Fiberoptic,No,Yes,No,Yes,No,No,Two Year,Yes,Bank transfer (automatic),79.95,4362.05,No
5848-FHRFC,Male,0,No,No,68.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,No,Bank transfer (automatic),20.05,1386.9,No
2243-FNMMI,m,0,NO,No,20.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,,415.4,No
2511-MORQY,f,0,Yes,Yes,50.0,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,,Bank transfer (automatic),54.9,2614.1,No
5356-KZCKT,f,0,Yes,,58.0,Yes,Yes,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,Yes,Credit card (automatic),24.45,1513.6,No
9470-XCCEM,FEMALE,0,y,Yes,35.0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-Month,Yes,Bank transfer (automatic),89.65,3161.6,No
6519-CFDBX,Male,0,No,No,2.0,Yes,No,Dsl,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,45.4,80.95,No
3902-MIVLE,f,0,No,Yes,63.0,Yes,Yes,dsl,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Mailed check,75.7,4676.7,No
0409-WTMPL,fe male,0,YES,No,58.0,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit card (automatic),110.65,6526.65,No
8763-KIAFH,Male,0,No,Yes,27.0,Yes,No,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,Yes,Mailed check,20.55,583.3,No
3669-WHAFY,FEMALE,0,Yes,No,71.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,1 year,Yes,Credit card (automatic),115.15,8078.1,No
3055-VTCGS,Male,0,Yes,,63.0,Yes,No,DSL,No,No,Yes,No,No,Yes,month to month,No,Credit card (automatic),58.55,3503.5,No
3144-KMTWZ,f,0,y,No,71.0,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,2 Year,Yes,Bank transfer (automatic),93.25,6669.45,No
7279-BUYWN,fe male,1,n,No,41.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Electronic check,113.2,4689.5,Yes
7156-MHUGY,Female,1,y,No,13.0,Yes,No,fiber,No,No,No,No,Yes,Yes,month to month,Yes,Electronic check,90.5,1201.15,Yes
7198-GLXTC,FEMALE,0,YES,No,2.0,Yes,No,fiber,No,No,No,No,Yes,No,2 Year,No,Electronic check,79.0,143.65,Yes
2007-QVGAW,Male,0,NO,Yes,68.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,Yes,Bank transfer (automatic),19.35,1292.65,No
5207-PLSTK,Male,0,No,Yes,1.0,Yes,No,dsl,Yes,No,No,No,No,No,month to month,Yes,Mailed check,48.75,48.75,No
2307-FYNNL,FEMALE,1,n,No,65.0,Yes,Yes,fiber,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Electronic check,109.05,7108.2,No
5605-XNWEN,Male,1,No,No,72.0,Yes,Yes,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,Yes,Bank transfer (automatic),25.0,1802.55,No
2155-AMQRX,fe male,0,n,No,28.0,Yes,Yes,Fiberoptic,No,No,No,Yes,No,No,One Year,Yes,Credit card (automatic),54.9,1505.15,No
6181-AXXYF,FEMALE,0,no,Yes,72.0,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Credit card (automatic),24.75,1859.1,No
5091-HFAZW,Female,0,Yes,No,2.0,Yes,No,Fiberoptic,Yes,Yes,No,No,Yes,No,1 Year,Yes,Electronic check,91.15,168.5,No
0516-VRYBW,f,0,No,,18.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 Year,No,Bank transfer (automatic),20.15,390.85,Yes
2519-LBNQL,f,1,YES,No,60.0,Yes,Yes,dsl,No,Yes,Yes,No,Yes,Yes,month to month,Yes,Electronic check,104.35,6339.45,No
8623-ULFNQ,fe male,1,no,No,26.0,Yes,Yes,dsl,No,No,No,Yes,No,Yes,One Year,Yes,Electronic check,66.05,,No
8380-PEFPE,Female,0,No,Yes,1.0,Yes,No,DSL,No,No,No,No,No,No,2 year,Yes,Electronic check,71.65,71.65,Yes
5687-DKDTV,f,0,No,No,4.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Mailed check,20.35,77.5,Yes
1568-LJSZU,f,0,YES,Yes,68.0,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 year,Yes,Credit card (automatic),92.2,6392.85,No
7530-HDYDS,FEMALE,0,YES,No,38.0,Yes,No,fiber optic,No,Yes,Yes,Yes,No,No,month to month,Yes,Credit card (automatic),84.25,3264.5,Yes
7789-HKSBS,Male,1,y,No,42.0,Yes,Yes,dsl,Yes,No,Yes,No,Yes,Yes,month to month,Yes,Bank transfer (automatic),105.2,4599.15,No
7416-CKTEP,Female,0,n,No,57.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 year,Yes,Bank transfer (automatic),19.6,1134.25,No
2586-CWXVV,f,0,YES,No,54.0,No,No phone service,Fiber Optic,No,Yes,No,No,No,No,2 year,No,Electronic check,30.4,1621.35,No
3096-IZETN,FEMALE,0,Yes,No,12.0,Yes,No,Fiber Optic,No,No,No,No,No,Yes,2 year,No,Bank transfer (automatic),78.1,947.3,Yes
2348-KCJLT,Male,0,no,No,44.0,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Two Year,Yes,Mailed check,61.5,2722.2,No
8401-EMUWF,m,0,y,Yes,42.0,Yes,Yes,Fiberoptic,Yes,Yes,No,No,Yes,No,Two Year,Yes,Bank transfer (automatic),69.4,3058.3,No
4193-IBKSW,fe male,0,No,Yes,72.0,Yes,Yes,Fiberoptic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Bank transfer (automatic),24.75,1769.6,No
5377-NDTOU,m,0,YES,Yes,71.0,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,,Mailed check,91.05,6293.75,No
5922-ABDVO,FEMALE,0,no,No,19.0,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,1 Year,No,Mailed check,89.65,1761.05,Yes
2474-LCNUE,fe male,0,Yes,No,23.0,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,month to month,Yes,Credit card (automatic),73.65,,No
0839-QNXME,fe male,0,No,No,30.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,,Credit card (automatic),19.4,578.5,No
3506-OVLKD,Male,0,no,No,35.0,Yes,Yes,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),26.2,954.9,No
9172-ANCRX,f,0,NO,No,10.0,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Electronic check,98.7,973.25,Yes
6650-VJONK,f,0,n,No,1.0,Yes,No,Fiberoptic,No,No,No,No,No,No,1 Year,Yes,Bank transfer (automatic),43.85,,No
2178-PMGCJ,FEMALE,0,YES,No,22.0,Yes,No,fiber,No,No,No,No,No,No,One Year,,Mailed check,,1490.4,No
7492-TAFJD,fe male,0,No,Yes,7.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two Year,No,Mailed check,38.55,,No
2773-MADBQ,f,0,No,No,36.0,No,No phone service,Dsl,Yes,Yes,Yes,Yes,No,Yes,1 year,Yes,Mailed check,,1901.25,No
6016-LVTJQ,f,0,Yes,Yes,34.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,20.65,716.4,No
7860-KSUGX,m,0,Yes,,72.0,Yes,Yes,Dsl,Yes,Yes,Yes,No,No,No,2 Year,No,Credit card (automatic),64.45,4720,No
8966-KZXXA,m,0,No,Yes,36.0,Yes,Yes,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 Year,No,Credit card (automatic),25.1,,No
6910-HADCM,m,0,Yes,No,1.0,Yes,No,Dsl,No,No,Yes,No,No,No,One Year,No,Electronic check,76.35,76.35,Yes
4816-LXZYW,fe male,0,n,No,23.0,Yes,Yes,dsl,No,Yes,No,No,No,No,One Year,Yes,Electronic check,79.15,1676.95,Yes
9606-PBKBQ,m,1,Yes,No,32.0,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,1 year,Yes,Electronic check,85.0,2642.05,Yes
5149-QYTTU,FEMALE,0,NO,Yes,71.0,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,No,2 Year,Yes,Credit card (automatic),95.15,6770.85,No
2070-XYMFH,Male,1,NO,No,23.0,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,1 Year,Yes,Mailed check,,1835.3,No
2085-BOJKI,fe male,0,No,No,17.0,Yes,No,Fiber Optic,No,No,Yes,No,Yes,Yes,One Year,Yes,Bank transfer (automatic),96.65,1588.25,No
0817-HSUSE,FEMALE,0,y,No,,Yes,No,fiber optic,No,No,Yes,Yes,Yes,Yes,month to month,Yes,Electronic check,75.5,75.5,No
5442-PPTJY,Male,0,y,Yes,12.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Mailed check,19.7,258.35,No
1927-QEWMY,f,0,Yes,No,72.0,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Credit card (automatic),20.5,1502.25,No
1663-MHLHE,Male,0,No,No,,Yes,No,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Mailed check,19.2,19.2,No
5663-QBGIS,Female,1,no,No,72.0,Yes,Yes,Fiberoptic,No,Yes,No,No,Yes,Yes,month to month,No,Bank transfer (automatic),98.35,6929.4,No
4450-MDZFX,Female,0,Yes,Yes,60.0,Yes,Yes,Dsl,No,No,No,No,No,No,Two Year,No,Bank transfer (automatic),74.35,4453.3,No
6701-DHKWQ,Male,0,Yes,Yes,61.0,No,No phone service,fiber optic,No,Yes,Yes,Yes,Yes,No,month to month,No,Credit card (automatic),51.35,3244.4,No
7554-AKDQF,Male,0,Yes,No,6.0,Yes,No,Fiberoptic,No,No,No,No,No,No,1 year,No,Mailed check,45.65,323.45,No
3536-IQCTX,FEMALE,1,Yes,No,32.0,Yes,Yes,dsl,No,No,No,No,No,Yes,1 year,No,Electronic check,85.3,2661.1,Yes
4911-BANWH,Female,0,Yes,Yes,31.0,Yes,Yes,fiber,No,No,No,No,Yes,No,month to month,Yes,Credit card (automatic),86.55,2697.4,Yes
8496-EJAUI,Female,0,No,No,19.0,Yes,No,fiber optic,No,Yes,No,No,No,No,2 year,Yes,Credit card (automatic),73.85,1424.5,Yes
0794-YVSGE,m,0,Yes,Yes,72.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Bank transfer (automatic),20.3,1401.15,No
5423-BHIXO,Male,0,y,No,32.0,Yes,Yes,Dsl,No,Yes,No,No,No,No,Month-to-Month,,Electronic check,54.2,1739.6,No
6908-VVYHM,Female,0,Yes,No,65.0,Yes,Yes,fiber optic,No,Yes,No,No,No,Yes,2 year,Yes,Electronic check,90.65,5931,No
2959-EEXWB,f,0,Yes,Yes,45.0,No,No phone service,Dsl,Yes,No,No,No,Yes,Yes,month to month,Yes,Bank transfer (automatic),50.9,2333.85,No
1839-UMACK,fe male,0,YES,No,42.0,Yes,Yes,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Electronic check,25.05,949.85,No
3030-YDNRM,f,0,y,No,8.0,Yes,Yes,dsl,No,No,No,No,No,No,2 year,Yes,Electronic check,,572.45,No
7321-KKSDU,fe male,0,no,Yes,32.0,Yes,No,Fiber Optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,,Mailed check,20.5,696.8,No
3402-XRIUO,Male,1,y,No,,Yes,Yes,Fiberoptic,Yes,Yes,No,Yes,No,No,2 Year,,Mailed check,63.55,1381.8,No
3132-TVFDZ,f,1,Yes,No,57.0,No,No phone service,Fiber Optic,No,No,No,No,Yes,Yes,One Year,Yes,Electronic check,44.85,,Yes
8286-AFUYI,Male,0,Yes,No,1.0,Yes,No,Fiber Optic,Yes,No,No,No,No,No,2 Year,No,Electronic check,47.95,47.95,No
8080-DDEMJ,FEMALE,1,YES,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Two Year,No,Electronic check,45.1,45.1,Yes
8356-WUAOJ,FEMALE,0,No,No,1.0,Yes,No,fiber,No,No,No,No,No,No,Two Year,Yes,Electronic check,45.0,45,No
6365-MTGZX,f,0,n,No,,Yes,No,Dsl,No,No,No,Yes,Yes,Yes,2 Year,Yes,Electronic check,96.0,2122.45,Yes
1349-WXNGG,Female,0,No,No,1.0,Yes,No,dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),20.05,20.05,Yes
8058-DMYRU,m,1,n,No,54.0,Yes,Yes,fiber optic,No,Yes,No,No,No,Yes,month to month,Yes,Electronic check,90.05,4931.8,No
9350-ZXYJC,FEMALE,0,No,No,4.0,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 Year,Yes,Credit card (automatic),25.3,116.95,No
6990-YNRIO,Male,0,y,Yes,65.0,Yes,Yes,Dsl,Yes,No,Yes,Yes,Yes,Yes,month to month,No,Bank transfer (automatic),,6937.95,Yes
8958-JPTRR,fe male,0,y,,56.0,Yes,Yes,fiber,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Electronic check,24.3,1261.7,No
6959-GQEGV,Male,0,no,No,45.0,Yes,No,fiber,Yes,No,Yes,No,Yes,Yes,1 Year,Yes,Electronic check,75.95,3273.8,No
3173-WSSUE,Female,0,No,Yes,71.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Credit card (automatic),19.7,1415.85,No
1265-HVPZB,FEMALE,0,Yes,No,59.0,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,1 Year,No,Credit card (automatic),66.4,3958.2,No
4115-UMJFQ,Male,0,n,No,69.0,No,No phone service,Fiber Optic,No,Yes,Yes,No,No,No,1 Year,Yes,Bank transfer (automatic),35.75,2492.25,No
7369-TRPFD,fe male,0,n,No,19.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,month to month,No,Mailed check,18.8,279.2,No
1098-KFQEC,f,0,Yes,Yes,55.0,Yes,No,Dsl,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Credit card (automatic),19.4,1083,No
7190-XHTWJ,Female,0,NO,No,38.0,Yes,No,fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 year,No,Mailed check,19.3,755.5,No
0621-TWIEM,m,0,No,No,10.0,Yes,No,dsl,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,,402.6,Yes
3537-RYBHH,Female,1,NO,No,47.0,Yes,Yes,Dsl,Yes,Yes,Yes,No,No,No,Two Year,Yes,Credit card (automatic),67.45,3252,No
2485-ITVKB,Male,0,n,No,2.0,No,No phone service,Fiberoptic,No,No,No,No,No,Yes,Two Year,,Electronic check,35.1,68.75,Yes
3669-OYSJI,m,0,n,No,,Yes,No,Fiber Optic,No,No,No,No,No,No,Two Year,No,Credit card (automatic),46.2,46.2,Yes
1612-EOHDH,m,0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,1 Year,No,Electronic check,45.15,45.15,Yes
6702-OHFWR,m,1,NO,No,1.0,No,No phone service,Dsl,No,Yes,Yes,No,No,Yes,month to month,Yes,Electronic check,43.3,43.3,Yes
5296-BFCYD,Female,0,n,Yes,46.0,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,Yes,Mailed check,20.1,936.85,No
4510-PYUSH,fe male,1,NO,No,38.0,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit card (automatic),57.15,2250.65,Yes
